colorData=True																						
sizeData=t																						
luminanceData=false																						
	Mallet Head				Hand				Elbow				Elbow				Shoulder				Pitch	Vis
t	x	y			x	y			x	y			x	y			x	y				
1.62	4.63	3.58	-	-	3.57	2.88	size.25	"(0,0,255)"	3.39	4.58	"(0, 255, 0)"	size 3.5	3.39	4.58	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.65	4.51	3.83	-	-	3.57	2.96	size.25	"(0,0,255)"	3.4	4.58	"(0, 255, 0)"	size 3.5	3.4	4.58	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.68	4.43	4.08	-	-	3.56	3.02	size.25	"(0,0,255)"	3.42	4.58	"(0, 255, 0)"	size 3.5	3.42	4.58	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.72	4.32	4.31	-	-	3.54	3.08	size.25	"(0,0,255)"	3.43	4.58	"(0, 255, 0)"	size 3.5	3.43	4.58	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.75	4.22	4.5	-	-	3.53	3.17	size.25	"(0,0,255)"	3.43	4.58	"(0, 255, 0)"	size 3.5	3.43	4.58	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.78	4.13	4.63	-	-	3.51	3.21	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.82	4.04	4.73	-	-	3.51	3.27	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.85	3.94	4.83	-	-	3.49	3.33	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.88	3.85	4.94	-	-	3.46	3.38	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.91	3.76	5	-	-	3.43	3.4	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.95	3.69	5.02	-	-	3.39	3.38	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
1.98	3.65	5.04	-	-	3.38	3.38	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
2.01	3.57	5.02	-	-	3.35	3.38	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
2.05	3.51	4.98	-	-	3.32	3.38	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
2.08	3.47	4.94	-	-	3.31	3.33	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.63	"(255,0,0)"	size1.5	d	l
2.11	3.42	4.88	-	-	3.29	3.33	size.25	"(0,0,255)"	3.44	4.56	"(0, 255, 0)"	size 3.5	3.44	4.56	"(0,0,255)"	size1	3.66	6.65	"(255,0,0)"	size1.5	d	l
2.15	3.39	4.77	-	-	3.28	3.29	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.66	6.67	"(255,0,0)"	size1.5	d	l
2.18	3.36	4.69	-	-	3.28	3.25	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.21	3.33	4.58	-	-	3.28	3.23	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.24	3.32	4.48	-	-	3.28	3.19	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.28	3.31	4.4	-	-	3.28	3.15	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.31	3.29	4.27	-	-	3.28	3.13	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.34	3.29	4.19	-	-	3.28	3.08	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
2.38	3.29	4.08	-	-	3.28	3.04	size.25	"(0,0,255)"	3.43	4.56	"(0, 255, 0)"	size 3.5	3.43	4.56	"(0,0,255)"	size1	3.67	6.69	"(255,0,0)"	size1.5	d	l
